case_id,created_at,case_summary,channel,case_type,category,plan_tier,customer_tenure_months
ND-2025-000917,2025-05-23 10:00:15+00:00,Data retrieval is slow.,email,incident,performance_outage,Enterprise,25
ND-2025-000948,2025-05-30 08:35:10+00:00,System crashes on login.,email,incident,bug,Enterprise,31
ND-2025-000575,2025-03-03 12:55:50+00:00,Payment issue urgent,email,incident,billing_payments,Enterprise,29
ND-2025-002327,2025-12-19 16:25:10+00:00,Right to be forgotten request.,email,incident,security_privacy,Enterprise,29
ND-2025-000712,2025-04-06 13:10:00+00:00,SEO services offer,webchat,service_request,other,Free,0
ND-2025-000165,2025-01-16 08:50:05+00:00,Page freezes on load,webchat,incident,bug,Pro,7
ND-2025-000468,2025-03-13 08:50:45+00:00,Need the VAT invoice for the last 3 months,email,service_request,billing_payments,Pro,15
ND-2025-002055,2025-11-18 08:45:10+00:00,Salesforce is down and Northstar isn't syncing.,in_app,incident,integrations,Enterprise,29
ND-2025-000940,2025-05-28 09:30:50+00:00,Unacceptable latency.,phone,incident,performance_outage,Enterprise,35
ND-2025-002253,2025-12-18 16:45:20+00:00,Urgent closure request avoid Jan charge.,email,service_request,account_admin,Pro,21
ND-2025-000086,2025-01-29 10:40:20+00:00,Severe lag when loading the main board,email,incident,performance_outage,Enterprise,18
ND-2025-001450,2025-08-16 11:35:10+00:00,Button colour looks wrong on the settings page.,webchat,service_request,bug,Free,2
ND-2025-001016,2025-06-06 10:45:30+00:00,Filters on the Sales Widget aren't sticking when I refresh,webchat,incident,data_reporting,Pro,7
ND-2025-000627,2025-04-08 10:30:00+00:00,Do you have examples of marketing dashboards?,email,service_request,how_to_training,Standard,2
ND-2025-000155,2025-01-06 14:50:15+00:00,Change billing address,email,service_request,account_admin,Pro,9
ND-2025-000418,2025-03-03 11:20:50+00:00,Add John Smith to the Finance Polaris Board,in_app,service_request,account_admin,Enterprise,20
ND-2025-000724,2025-04-18 12:00:00+00:00,Setting up Xero connector,webchat,service_request,integrations,Standard,4
ND-2025-000720,2025-04-14 09:00:00+00:00,Add new admin user,webchat,service_request,account_admin,Free,5
ND-2025-002087,2025-11-27 09:10:25+00:00,Invite link for new user isn't working.,phone,incident,access_permissions,Standard,6
ND-2025-001366,2025-07-15 13:40:00+00:00,Bug after update.,email,incident,bug,Standard,16
ND-2025-000055,2025-01-19 08:50:35+00:00,Screen freezes when I click the export button,in_app,service_request,bug,Standard,4
ND-2025-000152,2025-01-03 13:40:30+00:00,Where do I find the connector settings?,email,service_request,how_to_training,Standard,1
ND-2025-001501,2025-08-09 11:45:00+00:00,Dashboard widgets are all blank.,email,incident,data_reporting,Pro,25
ND-2025-001885,2025-10-27 11:35:10+00:00,checking chat bubbles,in_app,service_request,other,Free,3
ND-2025-001139,2025-06-07 15:50:55+00:00,Where can I find my invoices,email,service_request,billing_payments,Pro,14
ND-2025-000129,2025-01-10 09:35:05+00:00,Assign Manager role to new hire,email,service_request,access_permissions,Pro,9
ND-2025-001105,2025-06-15 08:50:50+00:00,KPI card showing NaN error,in_app,incident,data_reporting,Pro,10
ND-2025-000816,2025-05-02 13:05:55+00:00,My KPI widget is showing zero data after the v2.4 rollout.,email,incident,data_reporting,Standard,28
ND-2025-001283,2025-07-22 10:40:15+00:00,Cheap SEO services.,in_app,service_request,other,Free,0
ND-2025-000564,2025-03-01 08:30:15+00:00,VAT receipt needed,email,service_request,billing_payments,Pro,16
ND-2025-002123,2025-11-13 12:35:20+00:00,Suspicious login alert.,phone,incident,security_privacy,Pro,9
ND-2025-000847,2025-05-08 11:00:50+00:00,UI is broken.,email,incident,bug,Pro,20
ND-2025-000620,2025-04-06 08:15:00+00:00,Webhooks from Shopify connector are failing,email,incident,integrations,Enterprise,28
ND-2025-002002,2025-11-01 11:30:12+00:00,Requesting a change to our fiscal year start date in the org settings.,email,service_request,account_admin,Enterprise,36
ND-2025-001250,2025-07-14 08:50:35+00:00,Incorrect data mapping from HubSpot to Polaris.,email,incident,integrations,Pro,24
ND-2025-000527,2025-03-24 15:25:20+00:00,VAT receipt thanks,email,service_request,billing_payments,Pro,11
ND-2025-002275,2025-12-08 08:55:22+00:00,Shared report asking for login.,email,service_request,data_reporting,Pro,16
ND-2025-001945,2025-10-31 11:00:30+00:00,Role permissions query.,webchat,service_request,access_permissions,Pro,15
ND-2025-000872,2025-05-14 08:50:45+00:00,HubSpot connector timing out.,webchat,incident,integrations,Enterprise,16
ND-2025-001721,2025-09-02 16:15:33+00:00,Polaris footer is cutting off text,email,incident,bug,Standard,11
ND-2025-000501,2025-03-19 13:55:30+00:00,VAT invoice please,email,service_request,billing_payments,Pro,14
ND-2025-000141,2025-01-22 09:15:05+00:00,Need help adding widgets,email,service_request,how_to_training,Standard,1
ND-2025-001420,2025-08-06 09:00:00+00:00,Change organisation name in settings.,email,service_request,account_admin,Standard,14
ND-2025-000699,2025-04-30 08:30:00+00:00,Unknown IP accessed admin account,webchat,incident,security_privacy,Enterprise,40
ND-2025-000123,2025-01-04 09:25:35+00:00,First time setup,email,service_request,how_to_training,Standard,1
ND-2025-000621,2025-04-06 10:45:00+00:00,Docs for API v2 aren't clear on rate limits,webchat,service_request,how_to_training,Standard,4
ND-2025-001022,2025-06-08 09:40:50+00:00,Dashboard layout is broken on Safari browser specifically,email,incident,bug,Standard,11
ND-2025-001205,2025-07-02 08:30:15+00:00,Polaris takes forever to load the graphs this morning.,email,incident,performance_outage,Standard,18
ND-2025-001223,2025-07-06 14:10:15+00:00,Can't connect my Xero account says auth failed.,email,incident,integrations,Free,6
ND-2025-001909,2025-10-05 15:15:50+00:00,sorry wrong number,phone,service_request,other,Free,0
ND-2025-002295,2025-12-15 13:30:10+00:00,Getting random errors when saving.,webchat,incident,performance_outage,Pro,10
ND-2025-001621,2025-09-04 14:15:55+00:00,Field mapping incorrect in HubSpot Connector,email,incident,integrations,Standard,11
ND-2025-000574,2025-03-03 11:20:25+00:00,VAT invoice needed,email,service_request,billing_payments,Pro,18
ND-2025-002135,2025-11-20 12:10:15+00:00,Configure widget help.,webchat,service_request,how_to_training,Standard,4
ND-2025-000944,2025-05-29 09:10:30+00:00,DB slow to respond.,email,incident,performance_outage,Pro,24
ND-2025-001322,2025-07-02 14:45:00+00:00,Cant connect Xero it says auth failed but I paid.,webchat,incident,integrations,Standard,12
ND-2025-001923,2025-10-15 08:55:10+00:00,Upgrade pricing?,email,service_request,other,Free,0
ND-2025-000833,2025-05-06 09:40:00+00:00,Navigation menu flickers on Chrome.,email,incident,bug,Standard,10
ND-2025-001505,2025-08-13 08:40:00+00:00,Reports stuck on loading for 20 mins.,phone,incident,performance_outage,Pro,35
ND-2025-001249,2025-07-13 15:10:00+00:00,Auth error when trying to add a new connector.,email,incident,integrations,Standard,10
ND-2025-001141,2025-06-14 10:40:05+00:00,Bug in the new feature release,webchat,incident,bug,Pro,8
ND-2025-001143,2025-06-20 15:30:15+00:00,Completely locked out help,phone,incident,access_permissions,Enterprise,36
ND-2025-001804,2025-10-01 14:55:05+00:00,Setting up Okta SSO for the marketing team on Orbit ID.,in_app,service_request,access_permissions,Enterprise,36
ND-2025-002143,2025-11-24 14:55:35+00:00,Audit logs required.,email,service_request,account_admin,Standard,7
ND-2025-001354,2025-07-03 12:50:00+00:00,MFA policy question.,phone,incident,security_privacy,Pro,25
ND-2025-000147,2025-01-28 09:20:35+00:00,Account locked out,webchat,incident,access_permissions,Standard,3
ND-2025-000708,2025-04-03 08:35:00+00:00,Upgrade to Pro plan,webchat,service_request,billing_payments,Free,8
ND-2025-001332,2025-07-12 11:35:00+00:00,Pricing for Enterprise plan?,in_app,service_request,other,Free,0
ND-2025-002293,2025-12-14 11:05:12+00:00,How do I change chart colors?,in_app,service_request,how_to_training,Free,3
ND-2025-000695,2025-04-29 09:05:00+00:00,Double charged for the pro plan please refund,email,incident,billing_payments,Pro,20
ND-2025-001730,2025-09-20 09:50:45+00:00,Filtering error on Polaris dashboard,webchat,service_request,data_reporting,Pro,18
ND-2025-002068,2025-11-21 11:35:15+00:00,Connector timeout on large data sync.,email,incident,integrations,Enterprise,25
ND-2025-001706,2025-09-27 10:50:30+00:00,Mobile view of Polaris is distorted,in_app,incident,bug,Standard,12
ND-2025-002331,2025-12-12 15:30:12+00:00,Cancel Enterprise plan.,email,service_request,account_admin,Enterprise,21
ND-2025-000888,2025-05-17 09:50:10+00:00,Android app crashing.,email,incident,bug,Pro,12
ND-2025-000583,2025-03-05 12:35:10+00:00,Duplicate billing error,email,incident,billing_payments,Pro,4
ND-2025-000827,2025-05-05 10:00:15+00:00,Our custom API connector stopped working after the update; getting 401s.,email,incident,integrations,Enterprise,24
ND-2025-002132,2025-11-19 09:40:00+00:00,UI is misaligned.,email,incident,bug,Standard,6
ND-2025-001067,2025-06-21 10:50:55+00:00,Xero API is down is this affecting Northstar,webchat,incident,integrations,Standard,22
ND-2025-001942,2025-10-30 10:35:44+00:00,MFA complaint.,email,service_request,security_privacy,Pro,19
ND-2025-000710,2025-04-04 15:20:00+00:00,Locked out of account urgent,phone,service_request,access_permissions,Standard,3
ND-2025-000064,2025-01-22 09:00:00+00:00,What can a Viewer do on a Polaris Board?,email,service_request,how_to_training,Standard,2
ND-2025-000705,2025-04-01 14:45:00+00:00,API key rejected,webchat,incident,integrations,Enterprise,30
ND-2025-000529,2025-03-25 10:35:10+00:00,Audit log request for compliance,email,service_request,account_admin,Enterprise,22
ND-2025-001728,2025-09-16 12:25:30+00:00,Best way to group widgets on Polaris?,in_app,service_request,how_to_training,Standard,8
ND-2025-001411,2025-08-03 08:45:21+00:00,The filter dropdown is stuck behind the chart widget.,in_app,incident,bug,Pro,30
ND-2025-001263,2025-07-17 09:05:35+00:00,Xero Connector down again this is a joke.,email,incident,integrations,Enterprise,55
ND-2025-001916,2025-10-09 11:35:20+00:00,testing,webchat,service_request,other,Free,1
ND-2025-001801,2025-10-01 10:04:01+00:00,Locked out of Orbit ID lost my authenticator app.,webchat,incident,access_permissions,Standard,12
ND-2025-001512,2025-08-20 11:10:00+00:00,500 Internal Server Error on main page.,webchat,incident,performance_outage,Pro,45
ND-2025-000156,2025-01-07 08:30:50+00:00,Show me examples of finance boards,webchat,service_request,how_to_training,Standard,3
ND-2025-001820,2025-10-06 08:15:22+00:00,What is your data retention policy for deleted Connectors?,email,service_request,security_privacy,Standard,12
ND-2025-002030,2025-11-11 10:05:15+00:00,I want to upgrade to Pro tier.,webchat,service_request,billing_payments,Free,2
ND-2025-000521,2025-03-23 13:55:50+00:00,Firefox display issue,email,incident,bug,Standard,4
ND-2025-000400,2025-03-01 08:15:22+00:00,Need a VAT receipt for the last Orbit ID subscription payment cheers,email,service_request,billing_payments,Pro,12
ND-2025-001401,2025-08-01 09:30:45+00:00,Forgot Orbit ID password after my holiday need reset asap.,webchat,service_request,access_permissions,Standard,12
ND-2025-002111,2025-11-06 12:50:40+00:00,Very high latency on the platform.,in_app,incident,performance_outage,Enterprise,30
ND-2025-000923,2025-05-24 11:20:45+00:00,How to add a new user?,phone,service_request,how_to_training,Free,5
ND-2025-000812,2025-05-02 09:35:40+00:00,How do I revert to the old view? I can't find anything.,email,service_request,how_to_training,Pro,10
ND-2025-000676,2025-04-23 16:20:00+00:00,API responding with 403 Forbidden,email,incident,integrations,Pro,20
ND-2025-002222,2025-12-10 09:55:00+00:00,App crashing on iOS 17.,webchat,incident,bug,Standard,10
ND-2025-000183,2025-01-22 08:55:35+00:00,Config help,webchat,service_request,how_to_training,Standard,3
ND-2025-000411,2025-03-02 11:50:15+00:00,Can you send the VAT receipt to my finance team directly?,email,service_request,billing_payments,Pro,15
ND-2025-002031,2025-11-11 12:45:50+00:00,How do I change the default currency in org settings?,email,service_request,account_admin,Standard,18
ND-2025-000823,2025-05-04 09:15:40+00:00,Colors on the charts are wrong.,email,incident,bug,Standard,4
ND-2025-002269,2025-12-05 09:10:20+00:00,API Rate limit error on Xero connector.,webchat,incident,integrations,Pro,8
ND-2025-001003,2025-06-02 14:45:33+00:00,Struggling to find where to add a new Connector for HubSpot,phone,service_request,how_to_training,Free,3
ND-2025-001484,2025-08-28 14:00:50+00:00,Do you offer non-profit discounts?,email,service_request,other,Free,0
ND-2025-001701,2025-09-26 08:40:25+00:00,Missing rows in the customer details widget,in_app,service_request,data_reporting,Standard,26
ND-2025-000051,2025-01-17 13:15:15+00:00,Complete newbie here need help with Polaris Boards,email,service_request,how_to_training,Standard,1
ND-2025-000463,2025-03-12 09:15:40+00:00,Double charged for the starter pack,email,incident,billing_payments,Standard,5
ND-2025-000715,2025-04-09 14:55:00+00:00,Data not syncing from Hubspot,email,incident,integrations,Pro,26
ND-2025-001669,2025-09-17 12:20:45+00:00,Filters broken since the v2 update yesterday,webchat,incident,bug,Pro,38
ND-2025-002333,2025-12-17 10:10:20+00:00,Cancel account.,email,service_request,account_admin,Pro,11
ND-2025-001633,2025-09-07 14:10:05+00:00,Widgets broken after the v2 update,in_app,incident,bug,Enterprise,33
ND-2025-000107,2025-01-17 08:35:05+00:00,Invitation link not working for new user,webchat,service_request,access_permissions,Standard,5
ND-2025-002151,2025-11-28 14:25:55+00:00,Screen froze.,phone,incident,bug,Pro,8
ND-2025-000046,2025-01-16 09:10:10+00:00,Cancel my account immediately,phone,incident,account_admin,Standard,6
ND-2025-002078,2025-11-24 13:00:25+00:00,Add two new users.,email,service_request,account_admin,Standard,16
ND-2025-000080,2025-01-27 10:15:40+00:00,Configuring the dashboard layout,webchat,service_request,how_to_training,Standard,2
ND-2025-000649,2025-04-15 13:10:00+00:00,Found a potential XSS vulnerability in the profile page,email,incident,security_privacy,Standard,6
ND-2025-000701,2025-04-30 11:45:00+00:00,Mobile view is completely broken,in_app,incident,bug,Pro,19
ND-2025-001738,2025-09-05 12:00:30+00:00,Export button not working on Polaris,email,service_request,data_reporting,Pro,16
ND-2025-001521,2025-08-29 09:30:00+00:00,Salesforce data mismatch in Northstar.,webchat,incident,integrations,Pro,20
ND-2025-001838,2025-10-11 11:15:55+00:00,Need a DPA signed for our records.,email,service_request,security_privacy,Pro,14
ND-2025-002314,2025-12-07 09:20:33+00:00,Close account.,webchat,service_request,account_admin,Standard,11
ND-2025-002082,2025-11-25 14:30:05+00:00,Requesting a refund for the unused seats.,in_app,service_request,billing_payments,Pro,5
ND-2025-001342,2025-07-22 13:55:00+00:00,Mapping error on the dashboard.,email,incident,integrations,Standard,15
ND-2025-001748,2025-09-25 09:00:40+00:00,App crashes on startup,phone,incident,bug,Enterprise,24
ND-2025-002297,2025-12-16 11:10:55+00:00,Cancel my account.,email,service_request,account_admin,Standard,7
ND-2025-000061,2025-01-21 08:35:10+00:00,Help setting up the first board,email,service_request,how_to_training,Standard,1
ND-2025-002326,2025-12-19 12:05:33+00:00,Closing business account.,email,service_request,account_admin,Standard,5
ND-2025-000611,2025-04-03 13:45:00+00:00,HubSpot connector syncing wrong fields to Polaris widgets,email,incident,integrations,Pro,19
ND-2025-002059,2025-11-19 09:00:15+00:00,Please delete the old user accounts.,email,service_request,account_admin,Standard,9
ND-2025-001413,2025-08-03 12:30:10+00:00,Want to downgrade to Standard tier as we don't use all features.,email,service_request,billing_payments,Standard,11
ND-2025-002290,2025-12-13 12:10:55+00:00,Text overlapping on dashboard.,webchat,incident,bug,Pro,4
ND-2025-000175,2025-01-26 11:20:55+00:00,Random errors when saving,webchat,incident,performance_outage,Pro,16
ND-2025-002268,2025-12-04 11:30:33+00:00,Urgent cancellation contract ending.,email,service_request,account_admin,Enterprise,30
ND-2025-000557,2025-03-30 15:35:50+00:00,VAT receipt thanks,email,service_request,billing_payments,Pro,12
ND-2025-002252,2025-12-18 14:30:33+00:00,Help with widget setup.,webchat,service_request,how_to_training,Free,1
ND-2025-001341,2025-07-21 11:30:00+00:00,Latency is very high.,in_app,incident,performance_outage,Pro,19
ND-2025-000145,2025-01-26 10:30:25+00:00,403 Forbidden on API endpoint,email,incident,integrations,Pro,13
ND-2025-000616,2025-04-04 14:40:00+00:00,Alert: Suspicious login attempt flagged on admin account,email,incident,security_privacy,Enterprise,50
ND-2025-002158,2025-11-02 09:50:50+00:00,Card declined.,email,incident,billing_payments,Pro,20
ND-2025-000519,2025-03-23 10:45:00+00:00,Turn off notifications,email,service_request,account_admin,Standard,6
ND-2025-000538,2025-03-27 09:10:55+00:00,Critical payment failure notice,email,incident,billing_payments,Enterprise,28
ND-2025-001640,2025-09-09 11:45:10+00:00,Is there a video tutorial for the Shopify Connector?,webchat,service_request,how_to_training,Free,1
ND-2025-002305,2025-12-19 13:20:10+00:00,Data missing from widget.,webchat,service_request,data_reporting,Standard,13
ND-2025-001315,2025-07-30 14:15:35+00:00,Rate limit hit on the Xero API.,webchat,incident,integrations,Pro,25
ND-2025-001651,2025-09-12 09:20:50+00:00,500 error when accessing the integrations page,email,incident,bug,Pro,10
ND-2025-000927,2025-05-25 10:45:25+00:00,Need templates for dashboards.,webchat,service_request,how_to_training,Free,4
ND-2025-000438,2025-03-06 16:20:22+00:00,Need VAT receipt for accounting,email,service_request,billing_payments,Pro,10
ND-2025-000146,2025-01-27 13:00:00+00:00,Guide for new users?,email,service_request,how_to_training,Standard,1
ND-2025-001655,2025-09-13 09:40:20+00:00,Cannot change color on pie chart widget,email,service_request,data_reporting,Standard,15
ND-2025-000615,2025-04-04 12:55:00+00:00,New to Northstar need help setting up first connector,email,service_request,how_to_training,Free,1
ND-2025-001861,2025-10-19 13:15:55+00:00,MFA codes are arriving 10 minutes late.,webchat,incident,security_privacy,Pro,21
ND-2025-001441,2025-08-13 10:25:35+00:00,Potential XSS vulnerability found in the widget title field.,email,incident,security_privacy,Pro,55
ND-2025-001203,2025-07-01 11:12:00+00:00,URGENT: Xero API timeout is blocking our month-end reporting on Polaris.,email,incident,integrations,Enterprise,36
ND-2025-000143,2025-01-24 14:05:15+00:00,Export to PDF cuts off the bottom,email,service_request,data_reporting,Standard,7
ND-2025-001647,2025-09-11 08:30:15+00:00,New to Northstar need help setting up first Connector,email,service_request,how_to_training,Free,2
ND-2025-001816,2025-10-04 12:00:01+00:00,ignore this just testing the chat,in_app,service_request,other,Free,5
ND-2025-001135,2025-06-24 14:10:35+00:00,Visualization looks wrong on mobile,webchat,incident,data_reporting,Pro,11
ND-2025-000451,2025-03-09 13:30:55+00:00,VAT invoice required for end of year,email,service_request,billing_payments,Pro,11
ND-2025-000180,2025-01-31 09:00:50+00:00,Cannot invite new team member,email,service_request,access_permissions,Standard,4
ND-2025-001739,2025-09-07 13:45:05+00:00,Just testing the chat system,in_app,service_request,other,Free,0
ND-2025-001825,2025-10-07 10:10:05+00:00,Stop sending me so many emails about connector syncs.,webchat,service_request,account_admin,Standard,20
ND-2025-001275,2025-07-20 12:15:45+00:00,Export to PDF failing on large Polaris boards.,webchat,incident,bug,Standard,9
ND-2025-002159,2025-11-03 13:25:15+00:00,Update billing info.,webchat,service_request,account_admin,Standard,6
ND-2025-001403,2025-08-01 11:45:00+00:00,Xero Connector throwing 401 auth errors intermittently.,phone,incident,integrations,Enterprise,36
ND-2025-002105,2025-11-03 11:50:10+00:00,Remove access for user.,email,service_request,account_admin,Standard,8
ND-2025-000719,2025-04-13 16:00:00+00:00,App crashes on startup,email,incident,bug,Standard,21
ND-2025-000160,2025-01-11 12:05:10+00:00,Pricing for 50 users?,webchat,service_request,other,Free,0
ND-2025-001672,2025-09-18 10:55:55+00:00,How to share a Polaris Board with external client?,webchat,service_request,how_to_training,Free,5
ND-2025-002261,2025-12-01 14:45:10+00:00,Infinite spinner on login.,webchat,incident,performance_outage,Free,3
ND-2025-001527,2025-08-15 11:20:00+00:00,System crashed during presentation.,in_app,incident,performance_outage,Enterprise,60
ND-2025-001753,2025-09-05 11:35:45+00:00,Widget displaying wrong title,webchat,service_request,data_reporting,Pro,10
ND-2025-002212,2025-12-06 12:22:45+00:00,Lost phone need urgent MFA reset for Orbit ID.,email,incident,access_permissions,Enterprise,40
ND-2025-000135,2025-01-16 09:05:35+00:00,Add 5 new users,in_app,service_request,account_admin,Pro,8
ND-2025-002022,2025-11-08 10:15:30+00:00,System is running very slow this morning.,in_app,incident,performance_outage,Standard,28
ND-2025-002119,2025-11-11 13:40:45+00:00,Export fails for large reports.,email,incident,data_reporting,Enterprise,35
ND-2025-001919,2025-10-11 13:25:05+00:00,Need password reset.,webchat,service_request,access_permissions,Standard,3
ND-2025-002100,2025-11-01 15:12:45+00:00,Add user to account.,email,service_request,account_admin,Standard,10
ND-2025-001336,2025-07-16 10:45:00+00:00,UI glitch on the login page.,email,incident,bug,Standard,6
ND-2025-000924,2025-05-25 08:30:10+00:00,Panel is off-center.,email,incident,bug,Pro,11
ND-2025-001855,2025-10-17 12:45:50+00:00,Need to elevate permissions for the auditor account.,in_app,service_request,access_permissions,Enterprise,25
ND-2025-000121,2025-01-02 13:10:25+00:00,Auth error on custom API connector,email,incident,integrations,Pro,14
ND-2025-001481,2025-08-27 13:55:40+00:00,Our pen test found a weak cipher suite.,webchat,incident,security_privacy,Enterprise,60
ND-2025-002033,2025-11-12 09:10:05+00:00,Add new user to the team.,in_app,service_request,account_admin,Standard,14
ND-2025-001296,2025-07-25 12:35:40+00:00,Data mapping incorrect for new Xero invoices.,email,incident,integrations,Pro,22
ND-2025-001207,2025-07-02 10:55:40+00:00,The export button is misaligned on Safari.,email,incident,bug,Standard,8
ND-2025-001024,2025-06-08 15:50:20+00:00,Invitation link for new admin user expired too quickly,email,incident,access_permissions,Enterprise,19
ND-2025-002108,2025-11-05 10:00:55+00:00,Where are the audit logs?,webchat,service_request,account_admin,Standard,12
ND-2025-001637,2025-09-08 14:05:15+00:00,Inquiry about reseller partnership,email,service_request,other,Free,0
ND-2025-001908,2025-10-05 09:35:18+00:00,SSO redirect loop on login.,email,incident,access_permissions,Enterprise,36
ND-2025-000127,2025-01-08 10:45:55+00:00,Setup assistance required,email,service_request,how_to_training,Standard,1
ND-2025-001096,2025-06-30 10:55:40+00:00,Currency symbol is showing Dollar instead of Pound,webchat,incident,data_reporting,Standard,15
ND-2025-001029,2025-06-10 09:05:18+00:00,Ignore this just testing the chat bot,webchat,service_request,other,Free,0
ND-2025-001213,2025-07-03 13:10:00+00:00,Reports are timing out when I try to filter by date.,email,incident,performance_outage,Pro,10
ND-2025-001107,2025-06-19 14:40:05+00:00,Whitelist our office IP please,email,service_request,security_privacy,Pro,18
ND-2025-001244,2025-07-12 08:40:55+00:00,Xero Connector failure is critical for our ops.,email,incident,integrations,Enterprise,45
ND-2025-000613,2025-04-04 08:30:00+00:00,We need to downgrade from Pro to Standard next month,email,service_request,billing_payments,Pro,36
ND-2025-000041,2025-01-14 11:50:15+00:00,Is this the pizza place?,in_app,service_request,other,Free,0
ND-2025-001489,2025-08-30 11:45:50+00:00,Locked out of Orbit ID after too many attempts.,phone,incident,access_permissions,Pro,24
ND-2025-001745,2025-09-19 10:55:45+00:00,Turn off email notifications,webchat,service_request,account_admin,Standard,2
ND-2025-000867,2025-05-13 08:15:50+00:00,Filter logic seems reversed in the new update.,email,incident,data_reporting,Enterprise,23
ND-2025-001712,2025-09-28 14:25:00+00:00,App crashes when exporting large report,in_app,incident,bug,Enterprise,45
ND-2025-002262,2025-12-02 08:30:50+00:00,Closing business please cancel.,email,service_request,account_admin,Standard,12
ND-2025-000531,2025-03-25 13:45:00+00:00,Charged twice this month,email,incident,billing_payments,Pro,3
ND-2025-001644,2025-09-10 10:45:20+00:00,Need audit log for user activity last month,in_app,service_request,account_admin,Pro,5
ND-2025-000520,2025-03-23 12:20:25+00:00,VAT invoice for March,email,service_request,billing_payments,Pro,18
ND-2025-001037,2025-06-12 11:45:25+00:00,Field mapping for HubSpot deals is incorrect in Northstar,email,incident,integrations,Standard,38
ND-2025-001262,2025-07-16 15:20:10+00:00,Latest update broke the date picker in Polaris.,email,incident,bug,Standard,15
ND-2025-001513,2025-08-21 13:25:00+00:00,Where can I download my data archive?,in_app,service_request,account_admin,Free,2
ND-2025-002141,2025-11-23 11:25:45+00:00,Remove user.,email,service_request,account_admin,Standard,13
ND-2025-000943,2025-05-29 08:25:05+00:00,Search function broken.,webchat,incident,bug,Enterprise,20
ND-2025-001522,2025-08-30 13:45:00+00:00,MFA code not arriving via SMS.,in_app,service_request,access_permissions,Standard,14
ND-2025-001685,2025-09-22 08:55:50+00:00,Error 404 when clicking on widget details,in_app,incident,bug,Pro,19
ND-2025-000030,2025-01-11 08:30:10+00:00,help me set up,email,service_request,how_to_training,Free,2
ND-2025-001308,2025-07-28 16:20:40+00:00,Slow loading times on Polaris.,email,incident,performance_outage,Standard,16
ND-2025-001123,2025-06-22 08:20:35+00:00,Domain verification failed twice,webchat,incident,access_permissions,Standard,18
ND-2025-002147,2025-11-26 15:45:15+00:00,Visualisation error.,in_app,incident,data_reporting,Pro,11
ND-2025-001897,2025-10-31 09:10:15+00:00,Change admin email.,in_app,service_request,account_admin,Pro,14
ND-2025-002322,2025-12-15 09:55:20+00:00,Close account.,email,service_request,account_admin,Standard,7
ND-2025-000949,2025-05-30 09:20:35+00:00,New user onboarding.,webchat,service_request,how_to_training,Free,2
ND-2025-000680,2025-04-24 15:15:00+00:00,Firefox not displaying the widget borders correctly,webchat,incident,bug,Free,3
ND-2025-001873,2025-10-23 10:30:15+00:00,Im locked out and have a board meeting in 20 mins.,phone,incident,access_permissions,Standard,6
ND-2025-000540,2025-03-27 12:20:45+00:00,VAT invoice please,email,service_request,billing_payments,Pro,15
ND-2025-002127,2025-11-16 09:50:55+00:00,Spinning wheel when loading dashboard.,in_app,incident,performance_outage,Pro,26
ND-2025-002323,2025-12-16 13:30:45+00:00,OAuth token expired.,webchat,incident,integrations,Pro,19
ND-2025-001309,2025-07-29 08:45:05+00:00,Xero Connector failure is critical.,email,incident,integrations,Enterprise,50
ND-2025-001699,2025-09-25 12:45:35+00:00,500 Internal Server Error when loading Polaris,webchat,incident,performance_outage,Enterprise,50
ND-2025-001715,2025-09-29 12:00:15+00:00,Suspicious login reported from unknown IP via Orbit ID,phone,incident,security_privacy,Enterprise,55
ND-2025-001678,2025-09-19 14:00:10+00:00,Duplicate charge on my credit card this month,email,service_request,billing_payments,Standard,4
ND-2025-001138,2025-06-04 13:25:20+00:00,Hi are you a robot,webchat,service_request,other,Free,0
ND-2025-001604,2025-09-01 14:55:30+00:00,Locked out of Orbit ID after too many attempts,phone,service_request,access_permissions,Free,2
ND-2025-002126,2025-11-15 11:00:30+00:00,Data retention inquiry.,email,service_request,account_admin,Standard,5
ND-2025-001265,2025-07-17 13:15:55+00:00,500 Internal Server Error when loading the Finance Board.,email,incident,performance_outage,Pro,22
ND-2025-001940,2025-10-29 13:20:50+00:00,Settings not saving.,email,incident,account_admin,Pro,11
ND-2025-001611,2025-09-02 14:40:21+00:00,Where do I find the documentation for Orbit ID setup?,in_app,service_request,how_to_training,Free,3
ND-2025-001365,2025-07-14 11:15:00+00:00,Webhook failed.,phone,incident,integrations,Pro,28
ND-2025-001736,2025-09-01 15:40:20+00:00,Getting an error message when saving widget,phone,incident,bug,Standard,25
ND-2025-000734,2025-04-28 09:10:00+00:00,Link to documentation?,email,service_request,how_to_training,Free,3
ND-2025-002038,2025-11-13 10:30:55+00:00,Share report with external stakeholder.,email,service_request,data_reporting,Standard,9
ND-2025-002122,2025-11-13 09:00:55+00:00,Dead link on the profile page.,email,incident,bug,Free,4
ND-2025-001510,2025-08-18 14:30:00+00:00,Mobile view is completely broken.,phone,incident,bug,Enterprise,28
ND-2025-002201,2025-12-02 10:45:11+00:00,Xero connector has stopped syncing for December invoices.,webchat,incident,integrations,Pro,6
ND-2025-001142,2025-06-17 13:05:40+00:00,Walkthrough of the platform please,email,service_request,how_to_training,Free,3
